"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"XML Format Validation - Chargeback","E-121001055","Invalid format for XML element DisputedTransactionFraudReportedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001056","Invalid format for XML element DisputeReceiptDateInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001057","Invalid format for XML element SalesDraftAccountNum  ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001058","Invalid format for XML element SalesDraftName     ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001059","Invalid format for XML element MemberMsgEditText   ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001060","Invalid format for XML element ElectronicSignatureInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001061","Invalid format for XML element ExceptionListInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001062","Invalid format for XML element ExpectedReceiptDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001063","Invalid format for XML element ExpirationDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001064","Invalid format for XML element FalseAccountNumInd  ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001065","Invalid format for XML element    FileIndCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001066","Invalid format for XML element FirstTransactionARN","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001067","Invalid format for XML element FraudReportID","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001068","Invalid format for XML element FulfillmentDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001069","Invalid format for XML element FulfillmentSignatureInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001070","Invalid format for XML element GivenReturnPolicyCd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001071","Invalid format for XML element GoodsServicesCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001072","Invalid format for XML element GoodsServicesOrderedDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001073","Invalid format for XML element GoodsServicesReceivedDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001074","Invalid format for XML element GoodsServicesReceivedLateCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001075","Invalid format for XML element HowIncorrectDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001076","Invalid format for XML element IdentityTranDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001077","Invalid format for XML element IdentityTranInd ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001078","Invalid format for XML element IncorrectAmtReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001079","Invalid format for XML element InvalidCardServiceCodeInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001080","Invalid format for XML element InvoiceReceiptNum","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001081","Invalid format for XML element  IssrCaseNum","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001083","Invalid format for XML element MediationServiceDecisionDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001084","Invalid format for XML element MemberMsgEditText","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001085","Invalid format for XML element MerchandiseReturnedCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001086","Invalid format for XML element MerchandiseLocation","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001087","Invalid format for XML element MerchantInstructionDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001088","Invalid format for XML element MerchReceivedDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001089","Invalid format for XML element   NoATRDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001090","Invalid format for XML element NonReceiptCancellationCode ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001091","Invalid format for XML element NotifiedProblemDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001092","Invalid format for XML element OtherMethodDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001093","Invalid format for XML element OtherPaymentDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001094","Invalid format for XML element PaymentMethodDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001095","Invalid format for XML element PostedAccountDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001096","Invalid format for XML element PreparedByName","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001097","Invalid format for XML element ProcessingTransactionDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001098","Invalid format for XML element     ReceiptAmt","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001099","Invalid format for XML element ReceiptForLegalPurposeInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001100","Invalid format for XML element ReceivedDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001102","Invalid format for XML element ReferralServiceLogInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001103","Invalid format for XML element     ReportDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001104","Invalid format for XML element RequestReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001105","Invalid format for XML element ResponseDeclinedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001106","Invalid format for XML element RetrievalRequestDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001107","Invalid format for XML element RetrievalRequestID","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001108","Invalid format for XML element ReturnAuthNum","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001109","Invalid format for XML element      ReturnDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001110","Invalid format for XML element ReturnMethodDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001111","Invalid format for XML element ReturnPolicyDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001113","Invalid format for XML element ServiceCancelledCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001115","Invalid format for XML element SignedByName","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001116","Invalid format for XML element      SpokeWith","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001117","Invalid format for XML element StatementAmt","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001118","Invalid format for XML element TelecodeUsedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001120","Invalid format for XML element TranDepositedCountryName","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001122","Invalid format for XML element TransactionNotCompletedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001123","Invalid format for XML element TranOccurredCountryName","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001124","Invalid format for XML element TranPerformDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001126","Invalid format for XML element TranRecieptCurrency","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001128","Invalid format for XML element UnauthorizedTransactionSummaryInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001129","Invalid format for XML element VoiceAuthDesc","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001130","Invalid format for XML element  VoucherDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001131","Invalid format for XML element VoucherDatedCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001132","Invalid format for XML element VoucherReceivedCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001133","Invalid format for XML element VtrsTransactionReportInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001134","Invalid format for XML element ExceptionFileAPInd   ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001136","Invalid format for XML element ExceptionFileCEMEAInd  ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001137","Invalid format for XML element ExceptionFileEUInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001138","Invalid format for XML element IncludedCRBInd   ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001139","Invalid format for XML element ExceptionFileLACInd    ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001140","Invalid format for XML element ExceptionFileUSAInd  ","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001141","Invalid format for XML element PaidByOtherMeansInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001142","Invalid format for XML element LatePresentmentOtherFraudInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001143","Invalid format for XML element LatePresentmentCounterfeitInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001144","Invalid format for XML element LatePresentmentAccountProblemInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001145","Invalid format for XML element LatePresentmentAccountClosedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001146","Invalid format for XML element IncorrectTransactionCodeInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001147","Invalid format for XML element IncorrectAccountNumberInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001148","Invalid format for XML element ErrorInTransactionAmtInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001149","Invalid format for XML element DisputeReceiptDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001150","Invalid format for XML element TransactionAmtAlteredInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001151","Invalid format for XML element RiskIdentificationServiceReportDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001152","Invalid format for XML element AuthNotObtainedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001153","Invalid format for XML element GoodsServicesDocumentInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001155","Invalid format for XML element DisputeReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001156","Invalid format for XML element RepresentmentReceiptDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001157","Invalid format for XML element ReasonToContinueDispute","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001161","Invalid format for XML element AttemptToResolveMerchantResponse","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001167","Invalid format for XML element AccommodationsDate","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001168","Invalid format for XML element AccommodationsLocation","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001169","Invalid format for XML element AccommodationsProvidedInd","Please correct the XML element and resend the case"
"XML Format Validation - Chargeback","E-121001170","Invalid format for XML element CardholderFaxNum","Please correct the XML element and resend the case"
"Multiple","E-121001171","<ProcessingCode> is required.","Member didn't provide ProcessingCode which is required field."
"XML Format Validation - Questionnaire Header","E-121002000","Invalid format for XML element AccountNumber. Card/Account Number must be 11 to 19 digits.","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002001","Invalid format for XML element ARN","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002002","Invalid format for XML element    TranDate","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002003","Invalid format for XML element       Amount","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002004","Invalid format for XML element           MCC","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002006","Invalid format for XML element           CPD","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002007","Invalid format or unknown value for XML element MerchantCountryCode. Please enter 2-character country code.","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002008","Invalid format for XML element MerchantName","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002009","Invalid format for XML element MerchantCity","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002010","Invalid format for XML element CardholderName","Please correct the XML element and resend the case"
"XML Format Validation - Questionnaire Header","E-121002011","Invalid format for XML element TransactionID","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003000","Invalid format for XML element AccountNumMatchedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003001","Invalid format for XML element AccountNumNotListedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003002","Invalid format for XML element AcquirerCertificationInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003004","Invalid format for XML element      AtmLogInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003006","Invalid format for XML element          AuthAmt","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003007","Invalid format for XML element AuthorizationCertificationInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003008","Invalid format for XML element       AuthCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003009","Invalid format for XML element        AuthDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003010","Invalid format for XML element AuthorizationLogInd ","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003011","Invalid format for XML element AuthReceivedCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003012","Invalid format for XML element AuthorizationStatusCheckInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003013","Invalid format for XML element AvsObtainedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003014","Invalid format for XML element CancelPolicyDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003015","Invalid format for XML element CancelPolicyCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003016","Invalid format for XML element CancelReturnCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003017","Invalid format for XML element CardholderAddress","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003018","Invalid format for XML element CardholderNotProperlyCancelledInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003019","Invalid format for XML element CardholderPhone","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003020","Invalid format for XML element CardVerificationParticipantInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003021","Invalid format for XML element ChargebackConditionNotMetInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003023","Invalid format for XML element ChargebackReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003024","Invalid format for XML element ChargebackReceiptDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003026","Invalid format for XML element ChargebackRemedyInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003027","Invalid format for XML element ChipInitiatedTransactionInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003028","Invalid format for XML element Code10AuthCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003029","Invalid format for XML element Code10Details","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003030","Invalid format for XML element ConfimationCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003031","Invalid format for XML element CorrectAccountNumTransmittedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003033","Invalid format for XML element CreditNotProcessedAsDebitInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003034","Invalid format for XML element       CreditAmt","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003035","Invalid format for XML element      CreditDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003036","Invalid format for XML element CreditRefNum","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003038","Invalid format for XML element DelayedChargesInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003039","Invalid format for XML element DeliveryAddress","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003040","Invalid format for XML element DeliveryMethodDesc ","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003041","Invalid format for XML element DeliveryProofInfo","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003042","Invalid format for XML element DisputeNotValidDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003044","Invalid format for XML element DocumentProofInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003047","Invalid format for XML element EmvOnlineCardInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003048","Invalid format for XML element EstimatedCPD","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003049","Invalid format for XML element FraudTransactionDidNotOccurInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003050","Invalid format for XML element FulfillmentDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003051","Invalid format for XML element  FulfillmentMethodCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003052","Invalid format for XML element GoodsDeliveredCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003053","Invalid format for XML element GoodsReturnCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003054","Invalid format for XML element GoodsServicesCancelCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003055","Invalid format for XML element GoodsServicesCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003056","Invalid format for XML element GoodsServicesProvidedDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003057","Invalid format for XML element InternalRecordInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003058","Invalid format for XML element LegalCopyInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003059","Invalid format for XML element MagneticStripInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003060","Invalid format for XML element MediationDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003061","Invalid format for XML element MerchandiseNotAcceptedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003062","Invalid format for XML element MerchandiseReceivedDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003063","Invalid format for XML element MerchandiseReceivedCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003064","Invalid format for XML element MerchNotifiedCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003065","Invalid format for XML element NotCardHolderActivatedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003066","Invalid format for XML element OtherMethodDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003067","Invalid format for XML element PaidByOtherMeansDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003068","Invalid format for XML element PinVerifiedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003069","Invalid format for XML element   POS90Code","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003070","Invalid format for XML element PreparedByName","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003071","Invalid format for XML element RecognizeTransactionDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003072","Invalid format for XML element ReferralAuthorizationInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003073","Invalid format for XML element ReplacementMerchandiseDeliveredCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003074","Invalid format for XML element RepresentmentProcessedInd ","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003075","Invalid format for XML element RepresentmentReason","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003076","Invalid format for XML element RequestReasonCd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003077","Invalid format for XML element RetrievalRequestID","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003078","Invalid format for XML element Rfc204ReportInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003079","Invalid format for XML element SameDataInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003080","Invalid format for XML element ScheduledCheckDate ","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003081","Invalid format for XML element SeparateTransactionsInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003083","Invalid format for XML element ServiceProvidedCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003084","Invalid format for XML element ServiceProvidedDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003085","Invalid format for XML element ServiceProvidedExpl","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003086","Invalid format for XML element   ShippedDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003087","Invalid format for XML element ShipTrackNum","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003088","Invalid format for XML element  SignByName","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003089","Invalid format for XML element SpecialAuthorizationAmountInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003090","Invalid format for XML element SubsequentServiceProvidedCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003091","Invalid format for XML element SubsequentServiceProvidedDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003092","Invalid format for XML element ThirtyDayRequiredInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003093","Invalid format for XML element TransactionChargeDate","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003094","Invalid format for XML element TransactionChargePreviouslyInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003095","Invalid format for XML element TransactionChargeReason","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003096","Invalid format for XML element TranDepositedinCorrectCurrencyInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003097","Invalid format for XML element TransactionLessThanAllowedAmountInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003098","Invalid format for XML element TranProcessedinCorrectCurrencyInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003099","Invalid format for XML element TransactionReceiptAlteredInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003100","Invalid format for XML element TransactionReceiptInd ","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003101","Invalid format for XML element TransactionReceiptNotAlteredInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003102","Invalid format for XML element TransactionValueDistursedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003103","Invalid format for XML element UnwillingToIssueCreditDesc","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003104","Invalid format for XML element VerifyTerminalCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003105","Invalid format for XML element VoiceAuthDetails","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003106","Invalid format for XML element VoiceAuthCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003107","Invalid format for XML element VtrsTransactionReportInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003108","Invalid format for XML element MerchName","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003109","Invalid format for XML element MerchAddress","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003110","Invalid format for XML element   MerchCity","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003111","Invalid format for XML element MerchCountrySubEntityCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003112","Invalid format for XML element MerchPostalCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003113","Invalid format for XML element MerchCountryCode","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003114","Invalid format for XML element MerchPhoneNum","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003115","Invalid format for XML element MerchContactName","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003116","Invalid format for XML element MerchContactFaxNum","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003117","Invalid format for XML element MerchContactEmail","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003118","Invalid format for XML element    MerchUrl","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003119","Invalid format for XML element MerchBestTimeCall","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003120","Invalid format for XML element CorrectTranAmountInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003121","Invalid format for XML element AirlineProgramParticipantInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003122","Invalid format for XML element CorrectMerchandiseSentInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003123","Invalid format for XML element MerchandiseNotDefectiveInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003124","Invalid format for XML element MerchandiseNotReceived","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003125","Invalid format for XML element ReturnCancelPolicyDisclosedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003126","Invalid format for XML element CancellationCodeDisputedInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003127","Invalid format for XML element MerchantOptInInd","Please correct the XML element and resend the case"
"XML Format Validation - Repre & 2nd Chargeback","E-121003128","Invalid format for XML element MerchantContactPhoneNum","Please correct the XML element and resend the case"
